Time (s),Volume (m^3),Ar,He,Ne,N2,H2(1),O2(2),H(3),[O]O(4)
0.0,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,0.0,0.0
1e-15,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,3.2265481577169293e-19,3.2265499314453877e-19
3.0000000000000002e-15,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,7.967596222237963e-19,7.967605181611844e-19
7e-15,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,2.0873769216867606e-18,2.087382454363147e-18
1.5e-14,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,4.668605776294744e-18,4.668632071085017e-18
3.1e-14,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,9.831040508341197e-18,9.831154281698271e-18
6.300000000000001e-14,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,2.015581806457418e-17,2.0156290610784695e-17
1.2700000000000001e-13,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,4.0805005552145445e-17,4.0806930893852254e-17
2.55e-13,0.08314472000000002,0.0,0.0,0.0,0.0,0.67,0.32999999999999996,8.210191008006717e-17,8.210968190720814e-17
5.11e-13,0.08314471999999999,0.0,0.0,0.0,0.0,0.6699999999999999,0.3299999999999999,1.6468983776586156e-16,1.647210653039689e-16
1e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999998,0.32999999999999974,3.2242321853761314e-16,3.225441810922541e-16
1.023e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999998,0.32999999999999974,3.2984217100745013e-16,3.299673542274904e-16
2.047e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999995,0.3299999999999994,6.60052775764562e-16,6.605539938005978e-16
4.095e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999988,0.32999999999999874,1.3200979526039615e-15,1.3221033056216326e-15
8.191e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999975,0.3299999999999974,2.638685887468405e-15,2.6467043480780416e-15
1e-11,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999969,0.3299999999999968,3.219716693604788e-15,3.2330389862710935e-15
