Time (s),Volume (m^3),Ar,He,Ne,N2,H2(1),O2(2),H(3),[O]O(4),OO(7),OH(D)(5),H2O(10),O2(S)(11),O(T)(6)
1.1927542000000001e-09,0.08314471999999525,0.0,0.0,0.0,0.0,0.6699999999996153,0.32999999999955804,3.276346755873716e-13,4.4206096685411455e-13,1.4803696148376837e-22,3.44863456259886e-23,3.6517132788862295e-29,2.672362341585137e-29,3.448428386892902e-23
1.4286838e-09,0.08314471999999332,0.0,0.0,0.0,0.0,0.6699999999995392,0.3299999999994587,3.805935690804259e-13,5.413497584386379e-13,2.156238433896126e-22,5.023043387127045e-23,6.279473898787689e-29,4.5953851877472973e-29,5.022688843566867e-23
1.6646134e-09,0.0831447199999911,0.0,0.0,0.0,0.0,0.669999999999463,0.32999999999935603,4.301844462248204e-13,6.440065663685185e-13,2.9705471913704765e-22,6.919907363926698e-23,9.963513353168434e-29,7.291403902450598e-29,6.919344810216092e-23
2.1364726e-09,0.08314471999998593,0.0,0.0,0.0,0.0,0.6699999999993108,0.32999999999914137,5.200032179913777e-13,8.586831647402305e-13,5.029991643984299e-22,1.1717098561165327e-22,2.1217584008596826e-28,1.5527250480069928e-28,1.1715900561845175e-22
2.5611458800000002e-09,0.08314471999998047,0.0,0.0,0.0,0.0,0.6699999999991738,0.32999999999893864,5.912824338112292e-13,1.061449782032539e-12,7.397987868265829e-22,1.7232886160135638e-22,3.6941681611884084e-28,2.703430895547701e-28,1.7230800302828459e-22
2.9858191600000003e-09,0.08314471999997437,0.0,0.0,0.0,0.0,0.6699999999990368,0.3299999999987279,6.546204476077667e-13,1.2721576013359643e-12,1.0276704451896835e-21,2.3938178760442805e-22,5.930923096129519e-28,4.3403113976340895e-28,2.39348299024345e-22
3.4104924400000004e-09,0.08314471999996764,0.0,0.0,0.0,0.0,0.6699999999988998,0.32999999999851015,7.109227568134375e-13,1.4899011252176028e-12,1.3685095776153956e-21,3.1877124164325752e-22,8.966172965432278e-28,6.561538708660442e-28,3.187206140435172e-22
3.8351657200000005e-09,0.08314471999996041,0.0,0.0,0.0,0.0,0.6699999999987628,0.3299999999982861,7.609618586774668e-13,1.713907856427838e-12,1.763933184211978e-21,4.108739986022793e-22,1.2937483627776674e-27,9.467784916120047e-28,4.1080094609689326e-22
4.2598390000000006e-09,0.08314471999995272,0.0,0.0,0.0,0.0,0.6699999999986258,0.32999999999805657,8.054225884901332e-13,1.9434929596760477e-12,2.2153745480966325e-21,5.160241603493499e-22,1.7985546428515357e-27,1.3162009369547155e-27,5.159226025435138e-22
4.684512280000001e-09,0.08314471999994459,0.0,0.0,0.0,0.0,0.6699999999984888,0.329999999997822,8.44922467663601e-13,2.1780389135497573e-12,2.72412585987742e-21,6.345230690977037e-22,2.4254370983690052e-27,1.7749599762988715e-27,6.343861123717598e-22
5.109185560000001e-09,0.08314471999993614,0.0,0.0,0.0,0.0,0.6699999999983518,0.3299999999975831,8.800171933512006e-13,2.4169900208953543e-12,3.291349816077602e-21,7.66641995106328e-22,3.189114479851765e-27,2.3338269402626133e-27,7.664619146956869e-22
5.958532120000001e-09,0.08314471999991825,0.0,0.0,0.0,0.0,0.6699999999980778,0.32999999999709384,9.389161488676477e-13,2.9061827314023957e-12,4.6052428700513705e-21,1.0726801470841882e-21,5.187050252670243e-27,3.795936854729746e-27,1.072387245993244e-21
6.807878680000001e-09,0.08314471999989932,0.0,0.0,0.0,0.0,0.6699999999978038,0.32999999999659224,9.85438470349771e-13,3.407752075885211e-12,6.163995995384646e-21,1.4357608443700458e-21,7.91522958504765e-27,5.792446454595153e-27,1.4353138870853934e-21
7.65722524e-09,0.0831447199998796,0.0,0.0,0.0,0.0,0.6699999999975298,0.329999999996081,1.0221808493363728e-12,3.919101362803695e-12,7.973038589119972e-21,1.8571549549414956e-21,1.1499721190504479e-26,8.415614108098683e-27,1.8565055884617144e-21
8.5065718e-09,0.08314471999985923,0.0,0.0,0.0,0.0,0.6699999999972558,0.32999999999556184,1.0511884322905861e-12,4.438185445693699e-12,1.0036644902959241e-20,2.337865048568438e-21,1.6069047585900608e-26,1.1759493906527688e-26,2.336957664674666e-21
9.35591836e-09,0.08314471999983836,0.0,0.0,0.0,0.0,0.6699999999969818,0.32999999999503665,1.0740839257584124e-12,4.963381618008414e-12,1.2358204610096539e-20,2.8786882003578964e-21,2.1753646971220727e-26,1.591954186272181e-26,2.877459828356721e-21
9.999999999999999e-09,0.08314471999981707,0.0,0.0,0.0,0.0,0.6699999999967741,0.32999999999463514,1.0881732726652034e-12,5.364924470674296e-12,1.4292353778725634e-20,3.3292802577008657e-21,2.6888811734970494e-26,1.9677507936992424e-26,3.327761927513911e-21
1.020526492e-08,0.08314471999981707,0.0,0.0,0.0,0.0,0.6699999999967078,0.32999999999450663,1.0921554328978072e-12,5.493401776589239e-12,1.4940406922532192e-20,3.4802587216956845e-21,2.8685492997290514e-26,2.0992337653289422e-26,3.478638942688474e-21
1.1054611480000001e-08,0.08314471999979547,0.0,0.0,0.0,0.0,0.6699999999964338,0.3299999999939728,1.1064161197643723e-12,6.027232755380078e-12,1.7785365648406275e-20,4.143077185338117e-21,3.6997821038889585e-26,2.7075384302381217e-26,4.140988061982344e-21
1.1903958040000001e-08,0.08314471999977363,0.0,0.0,0.0,0.0,0.6699999999961598,0.3299999999934359,1.1176694182636417e-12,6.564071122475003e-12,2.0894755744148713e-20,4.867542142216634e-21,4.6824825879850307e-26,3.426688694464646e-26,4.86489816559401e-21
1.3602651160000001e-08,0.08314471999972937,0.0,0.0,0.0,0.0,0.6699999999956117,0.3299999999923556,1.1335288721603127e-12,7.644394999575916e-12,2.7911775489819716e-20,6.502597759873113e-21,7.156350062805889e-26,5.237090228955057e-26,6.4985570512482025e-21
1.509604608702724e-08,0.08314471999969006,0.0,0.0,0.0,0.0,0.6699999999951298,0.32999999999140084,1.142438955640627e-12,8.599187309406505e-12,3.49646477708682e-20,8.14619077816698e-21,9.96244858487989e-26,7.290621874505506e-26,8.140565860123098e-21
1.6589441014054476e-08,0.08314471999965053,0.0,0.0,0.0,0.0,0.669999999994648,0.32999999999044305,1.148327567310502e-12,9.557001090849041e-12,4.28480782445749e-20,9.983535065222215e-21,1.343678745966826e-25,9.833178699029218e-26,9.975948799737844e-21
1.8082835941081713e-08,0.08314471999961075,0.0,0.0,0.0,0.0,0.6699999999941662,0.3299999999894833,1.1522372392489051e-12,1.051679381182406e-11,5.156422177414918e-20,1.201517976633933e-20,1.7653862098316563e-25,1.291927723162835e-25,1.2005213018764945e-20
1.957623086810895e-08,0.08314471999957092,0.0,0.0,0.0,0.0,0.6699999999936843,0.32999999998852214,1.1548314503952785e-12,1.1477901993391796e-11,6.111444218987108e-20,1.4241489639992062e-20,2.268835579397067e-25,1.6603571498885404e-25,1.4228681183317706e-20
2.1069625795136187e-08,0.08314471999953099,0.0,0.0,0.0,0.0,0.6699999999932025,0.32999999998756013,1.1565468832869924e-12,1.2439888953014676e-11,7.149963002585388e-20,1.66627191213668e-20,2.8615069677562126e-25,2.094080176609057e-25,1.6646565580051114e-20
2.2563020722163424e-08,0.08314471999949102,0.0,0.0,0.0,0.0,0.6699999999927206,0.32999999998659757,1.15767881030935e-12,1.3402459418307244e-11,8.27203812479731e-20,1.9279053856989252e-20,3.5508884144537237e-25,2.598576630860086e-25,1.9259009672539834e-20
2.405641564919066e-08,0.08314471999945101,0.0,0.0,0.0,0.0,0.6699999999922388,0.32999999998563456,1.1584289462499136e-12,1.4365411674481847e-11,9.477709689497881e-20,2.2090633982000858e-20,4.344473735360107e-25,3.1793305677211976e-25,2.2066111390680943e-20
2.55498105762179e-08,0.083144719999411,0.0,0.0,0.0,0.0,0.669999999991757,0.32999999998467144,1.1589293868693253e-12,1.532861362577777e-11,1.0767003315374915e-19,2.509756576490349e-20,5.249761498443305e-25,3.841829520258666e-25,2.506793478117863e-20
2.7043205503245136e-08,0.08314471999937095,0.0,0.0,0.0,0.0,0.6699999999912751,0.329999999983708,1.1592636975259173e-12,1.6291981706836657e-11,1.213993452070948e-19,2.8299931866063545e-20,6.274254085576011e-25,4.591563812952206e-25,2.8264520271327395e-20
3.0029995357299613e-08,0.08314471999929086,0.0,0.0,0.0,0.0,0.6699999999903115,0.32999999998178103,1.1596254167187582e-12,1.8219024770475047e-11,1.5136742097364412e-19,3.529122820844473e-20,8.710877751843019e-25,6.374710324142605e-25,3.5242069772928594e-20
3.301678521135409e-08,0.08314471999921076,0.0,0.0,0.0,0.0,0.6699999999893478,0.32999999997985374,1.159768406611138e-12,2.0146286562614162e-11,1.8468170518398384e-19,4.30649827780691e-20,1.1714414751507478e-24,8.572729999054076e-25,4.299888171669676e-20
3.600357506540856e-08,0.08314471999913065,0.0,0.0,0.0,0.0,0.6699999999883841,0.32999999997792645,1.1598315488049262e-12,2.207362820165203e-11,2.2134234003716424e-19,5.1621599180811484e-20,1.5344966034873913e-24,1.1229605378236811e-24,5.153502174954326e-20
3.8990364919463036e-08,0.08314471999905051,0.0,0.0,0.0,0.0,0.6699999999874204,0.32999999997599905,1.159879519244816e-12,2.400098501164389e-11,2.6134931356443477e-19,6.096144490804039e-20,1.9662661647379837e-24,1.438934030022356e-24,6.085051940285325e-20
4.197715477351751e-08,0.0831447199989704,0.0,0.0,0.0,0.0,0.6699999999864568,0.3299999999740717,1.159915525755627e-12,2.592835378476488e-11,3.047024864360886e-19,7.108485753313561e-20,2.4727660217899773e-24,1.809595952698228e-24,7.094537429183845e-20
4.735337651081557e-08,0.08314471999882617,0.0,0.0,0.0,0.0,0.6699999999847221,0.32999999997060236,1.1599410393580355e-12,2.939765687248371e-11,3.911701358307432e-19,9.128265685409465e-20,3.59200227154216e-24,2.628664864783265e-24,9.108008266169846e-20
5.8105819985411684e-08,0.08314471999853772,0.0,0.0,0.0,0.0,0.6699999999812528,0.32999999996366375,1.1599616986888466e-12,3.6336293408018114e-11,5.966243832822372e-19,1.393090566269673e-19,6.816674583385836e-24,4.9885144821453785e-24,1.389248096258012e-19
7.961070693460393e-08,0.08314471999796082,0.0,0.0,0.0,0.0,0.6699999999743141,0.3299999999497865,1.159978482702087e-12,5.0213590961876866e-11,1.224254006507248e-18,2.863900055156058e-19,2.2651135554970477e-23,1.6576346274298866e-23,2.8511551399564626e-19
9.999999999999998e-08,0.08314471999680698,0.0,0.0,0.0,0.0,0.6699999999677354,0.32999999993662915,1.1600026394715137e-12,6.337097739607034e-11,2.1478452887744726e-18,5.037911999031377e-19,6.170432311470273e-23,4.515591430660011e-23,5.003295651983256e-19
1.2262048083298842e-07,0.08314471999680698,0.0,0.0,0.0,0.0,0.6699999999604368,0.32999999992203194,1.160029439701323e-12,7.796816851458029e-11,3.1725045955504505e-18,7.449824729374209e-19,1.0503107690791312e-22,7.686292684579147e-23,7.390943573176857e-19
