Time (s),Volume (m^3),Ar,He,Ne,N2,H2(1),O2(2),H(3),[O]O(4),OO(7),OH(D)(5),H2O(10)
0.0,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,0.0,0.0,0.0,0.0,0.0
1e-15,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,3.226548157716931e-19,3.226549931445385e-19,1.874961758676144e-34,6.379830625153137e-45,1.640276469746687e-56
3.0000000000000002e-15,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,7.967596222237974e-19,7.967605181611833e-19,9.413075124367412e-34,5.390306639227918e-44,2.0821471006533514e-55
7e-15,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,2.0873769216867664e-18,2.0873824543631408e-18,5.793254476191218e-33,8.423987710149813e-43,8.871559951825895e-54
1.5e-14,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,4.6686057762947714e-18,4.668632071084989e-18,2.7496948684764096e-32,8.327388776896365e-42,1.801515912601279e-52
3.1e-14,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,9.831040508341316e-18,9.83115428169815e-18,1.189037521118813e-31,7.306136391002917e-41,3.185644197225963e-51
6.300000000000001e-14,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,2.0155818064574677e-17,2.0156290610784202e-17,4.937167300890071e-31,6.1064316363015526e-40,5.3425152877829845e-50
1.2700000000000001e-13,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,4.080500555214746e-17,4.0806930893850245e-17,2.011353858955445e-30,4.9907549215391295e-39,8.746349531039102e-49
2.55e-13,0.08314472000000002,0.0,0.0,0.0,0.0,0.67,0.32999999999999996,8.210191008007529e-17,8.210968190720002e-17,8.118782311807359e-30,4.0351190081995035e-38,1.4153905631802066e-47
5.11e-13,0.08314471999999999,0.0,0.0,0.0,0.0,0.6699999999999999,0.3299999999999999,1.6468983776589422e-16,1.647210653039363e-16,3.2623131963439474e-29,3.2452388933337715e-37,2.2775060796722376e-46
1e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999998,0.32999999999999974,3.2242321853773955e-16,3.225441810921278e-16,1.2638666333010857e-28,2.5008438325445933e-36,3.500595246814259e-45
1.023e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999998,0.32999999999999974,3.2984217100758093e-16,3.299673542273597e-16,1.3079680897721161e-28,2.6032065292600493e-36,3.65453272471504e-45
2.047e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999995,0.3299999999999994,6.600527757650858e-16,6.605539938000742e-16,5.238601117165276e-28,2.0856112695047133e-35,5.856324105925421e-44
4.095e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999988,0.32999999999999874,1.3200979526060575e-15,1.3221033056195368e-15,2.097298560031289e-27,1.6700884639823902e-34,9.379447609531159e-43
