Time (s),Volume (m^3),Ar,He,Ne,N2,H2(1),O2(2),H(3),[O]O(4),OO(7)
0.0,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,0.0,0.0,0.0
1e-15,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,3.226548157716931e-19,3.226549931445385e-19,1.8749617587080434e-34
3.0000000000000002e-15,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,7.967596222237974e-19,7.967605181611833e-19,9.413075124636927e-34
7e-15,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,2.0873769216867664e-18,2.0873824543631408e-18,5.793254476612417e-33
1.5e-14,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,4.6686057762947714e-18,4.668632071084989e-18,2.7496948688927797e-32
3.1e-14,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,9.831040508341316e-18,9.83115428169815e-18,1.1890375214841198e-31
6.300000000000001e-14,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,2.0155818064574677e-17,2.0156290610784202e-17,4.937167303943286e-31
1.2700000000000001e-13,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,4.080500555214746e-17,4.0806930893850245e-17,2.0113538614508226e-30
2.55e-13,0.08314472000000002,0.0,0.0,0.0,0.0,0.67,0.32999999999999996,8.210191008007529e-17,8.210968190720002e-17,8.118782331982954e-30
5.11e-13,0.08314471999999999,0.0,0.0,0.0,0.0,0.6699999999999999,0.3299999999999999,1.6468983776589422e-16,1.647210653039363e-16,3.2623132125701417e-29
1e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999998,0.32999999999999974,3.2242321853773955e-16,3.225441810921278e-16,1.263866645805305e-28
1.023e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999998,0.32999999999999974,3.2984217100758093e-16,3.299673542273597e-16,1.307968102788149e-28
2.047e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999995,0.3299999999999994,6.600527757650858e-16,6.605539938000742e-16,5.238601221445839e-28
4.095e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999988,0.32999999999999874,1.3200979526060575e-15,1.3221033056195368e-15,2.0972986435357126e-27
8.191e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999975,0.3299999999999974,2.6386858874767904e-15,2.6467043480696564e-15,8.39700380570718e-27
1e-11,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999969,0.3299999999999968,3.21971669361873e-15,3.233038986257152e-15,1.3970477596310028e-26
1.6383e-11,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999948,0.32999999999999474,5.2698657459150256e-15,5.301902444273062e-15,3.3636305791676495e-26
3.2767e-11,0.08314471999999999,0.0,0.0,0.0,0.0,0.6699999999999895,0.3299999999999894,1.0508350233165145e-14,1.0636173866305975e-14,1.3490207386090038e-25
6.5535e-11,0.08314471999999998,0.0,0.0,0.0,0.0,0.669999999999979,0.32999999999997864,2.089068095038992e-14,2.139935496764623e-14,5.423866191135125e-25
9.8303e-11,0.08314471999999996,0.0,0.0,0.0,0.0,0.6699999999999684,0.32999999999996776,3.117922827913734e-14,3.225631945746279e-14,1.156613010018567e-24
9.999999999999999e-11,0.08314471999999995,0.0,0.0,0.0,0.0,0.6699999999999678,0.3299999999999672,3.17072419514604e-14,3.282339653087036e-14,1.1992213893588517e-24
1.31071e-10,0.08314471999999995,0.0,0.0,0.0,0.0,0.6699999999999579,0.32999999999995683,4.137483936616284e-14,4.3206220189000217e-14,1.979353949454312e-24
1.96607e-10,0.08314471999999985,0.0,0.0,0.0,0.0,0.6699999999999368,0.3299999999999347,6.155054382662567e-14,6.532153936566071e-14,4.119645655712731e-24
2.62143e-10,0.08314471999999976,0.0,0.0,0.0,0.0,0.6699999999999157,0.3299999999999123,8.139141552807638e-14,8.777169130132933e-14,7.041220063554729e-24
3.2767900000000004e-10,0.08314471999999963,0.0,0.0,0.0,0.0,0.6699999999998946,0.32999999999988955,1.0087903072219001e-13,1.1057509974433062e-13,1.0811378273681477e-23
4.5875100000000005e-10,0.08314471999999926,0.0,0.0,0.0,0.0,0.6699999999998523,0.3299999999998428,1.3880845388896618e-13,1.5722772385177034e-13,2.1026406014726534e-23
7.208950000000001e-10,0.08314471999999822,0.0,0.0,0.0,0.0,0.6699999999997677,0.3299999999997456,2.1070418297436395e-13,2.5449608931474575e-13,5.249699943796428e-23
9.45909462061979e-10,0.08314471999999698,0.0,0.0,0.0,0.0,0.6699999999996951,0.32999999999965807,2.6836960446576154e-13,3.4203470733974704e-13,9.161913566815759e-23
9.999999999999999e-10,0.08314471999999541,0.0,0.0,0.0,0.0,0.6699999999996776,0.32999999999963653,2.817120594406352e-13,3.635974070657747e-13,1.0276983893861537e-22
1.170923924123958e-09,0.08314471999999541,0.0,0.0,0.0,0.0,0.6699999999996225,0.32999999999956703,3.2255007232041123e-13,4.3305827900143173e-13,1.4245429565169928e-22
1.3959383861859369e-09,0.08314471999999361,0.0,0.0,0.0,0.0,0.6699999999995498,0.3299999999994727,3.7344132859141453e-13,5.273710622466952e-13,2.054107514774563e-22
1.6209528482479158e-09,0.08314471999999155,0.0,0.0,0.0,0.0,0.6699999999994772,0.32999999999937535,4.2124168236184706e-13,6.247747479924585e-13,2.8090300477619687e-22
2.070981772371874e-09,0.08314471999998672,0.0,0.0,0.0,0.0,0.669999999999332,0.3299999999991719,5.082124883597631e-13,8.282120210267102e-13,4.708401158777639e-22
2.476007804083436e-09,0.08314471999998163,0.0,0.0,0.0,0.0,0.6699999999992013,0.32999999999897994,5.77635748471852e-13,1.0201560320432994e-12,6.882561252145546e-22
2.881033835794998e-09,0.08314471999997593,0.0,0.0,0.0,0.0,0.6699999999990707,0.32999999999878055,6.396590501523455e-13,1.2195000014912093e-12,9.517599515451918e-22
3.28605986750656e-09,0.08314471999996967,0.0,0.0,0.0,0.0,0.66999999999894,0.3299999999985746,6.950887717114106e-13,1.4254375510602578e-12,1.263039894696973e-21
