Time (s),Volume (m^3),Ar,He,Ne,N2,H2(1),O2(2),H(3),[O]O(4),OO(7),OH(D)(5),H2O(10),O2(S)(11)
0.00010151107800392177,0.08314471727676215,0.0,0.0,0.0,0.0,0.6699999672449193,0.32999993449324166,1.2835917655729677e-12,6.550458759892804e-08,1.2817259913858004e-12,1.5158799170575385e-12,1.064122912416342e-13,7.787312277983463e-14
0.00011761343155204813,0.08314471684475698,0.0,0.0,0.0,0.0,0.6699999620486788,0.32999992410155127,1.3032200616782837e-12,7.589547122226537e-08,1.6333566249124589e-12,2.2362338274521033e-12,1.8350822261167737e-13,1.3429223909903333e-13
0.00013113905325600554,0.08314471648188021,0.0,0.0,0.0,0.0,0.669999957683851,0.3299999153726632,1.3197085506401128e-12,8.462356649197363e-08,1.9483451906678848e-12,2.9697057746299185e-12,2.7366994053218876e-13,2.0027287828215387e-13
0.00014466467495996294,0.08314471611900161,0.0,0.0,0.0,0.0,0.6699999533189273,0.32999990664368095,1.336198127513012e-12,9.335164520890152e-08,2.2795152628203556e-12,3.82425661820702e-12,3.9144137960968255e-13,2.8645831322353606e-13
0.00015819029666392035,0.08314471575612117,0.0,0.0,0.0,0.0,0.669999948953903,0.3299998979145993,1.3526888184148714e-12,1.0207970712201933e-07,2.625552932761452e-12,4.802763341235528e-12,5.410852192611753e-13,3.959679381823446e-13
0.00017171591836787775,0.0831447153932388,0.0,0.0,0.0,0.0,0.6699999445887742,0.3299998891854134,1.3691806442283279e-12,1.1080775206220541e-07,2.9853948975331803e-12,5.907519802627598e-12,7.26947382225622e-13,5.319820546600658e-13
0.00018524154007183515,0.08314471503035435,0.0,0.0,0.0,0.0,0.6699999402235363,0.3299998804561172,1.3856736210534326e-12,1.1953577993459036e-07,3.35820701693011e-12,7.140287240927934e-12,9.534463638241007e-13,6.977340622331623e-13
0.00019876716177579255,0.08314471466746773,0.0,0.0,0.0,0.0,0.669999935858185,0.32999987172670575,1.4021677610549712e-12,1.2826379070446216e-07,3.7433440597153134e-12,8.502388873743786e-12,1.2250592601859225e-12,8.96500233670487e-13
0.00021229278347974996,0.08314471430457873,0.0,0.0,0.0,0.0,0.6699999314927154,0.32999986299717315,1.4186630736114474e-12,1.3699178437824637e-07,4.14029516152903e-12,9.99483802252078e-12,1.5463045617452522e-12,1.1315871227090641e-12
0.00022581840518370736,0.08314471394168728,0.0,0.0,0.0,0.0,0.6699999271271232,0.3299998542675141,1.435159566118329e-12,1.4571976099020212e-07,4.5486456256465595e-12,1.1618427826024493e-11,1.9217295847067976e-12,1.4063223659365992e-12
0.00023934402688766476,0.0831447135787932,0.0,0.0,0.0,0.0,0.6699999227614041,0.3299998455377225,1.451657244295587e-12,1.544477205973875e-07,4.968062344172214e-12,1.3373765424739863e-11,2.3559046736037098e-12,1.7240504398384375e-12
0.00025286964859162216,0.08314471321589623,0.0,0.0,0.0,0.0,0.6699999183955528,0.329999836807793,1.4681561123616058e-12,1.6317566327682376e-07,5.398285418612545e-12,1.526129154600314e-11,2.8534195970877923e-12,2.088130022874728e-12
0.00027992089199953697,0.08314471249009316,0.0,0.0,0.0,0.0,0.6699999096634369,0.3299998193474971,1.5011574298892616e-12,1.8063149822200448e-07,6.29036507595459e-12,1.9434102607382707e-11,4.056890700210934e-12,2.9688242320323486e-12
0.0003042670110666603,0.08314471183685888,0.0,0.0,0.0,0.0,0.6699999018040358,0.3299998036327014,1.5308627080926114e-12,1.9634169277586169e-07,7.128543104039519e-12,2.364400292432611e-11,5.4029046781183015e-12,3.953828501810977e-12
0.0003286131301337836,0.08314471118361257,0.0,0.0,0.0,0.0,0.6699998939441357,0.3299997879173694,1.5605718691860703e-12,2.1205183409783475e-07,7.999579353249142e-12,2.8284855719852906e-11,7.025935635291794e-12,5.141549511942188e-12
0.0003529592492009069,0.08314471053035309,0.0,0.0,0.0,0.0,0.6699998860837099,0.3299997722014675,1.5902849152440036e-12,2.2776192284768705e-07,8.903092900562769e-12,3.3356750195481965e-11,8.952961827433493e-12,6.5517287672627905e-12
