time[s],[H]_molefrac,[H]OOOOO[O]_molefrac,[H]OOOO[H]_molefrac,[H]OOO[O]_molefrac,[H]OO[H]_molefrac,[H]O[O]_molefrac,[H][H]_molefrac,[O]OOOOOO[O]_molefrac,[O]OOOO[O]_molefrac,[O]OO[O]_molefrac,[O][O]_molefrac
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.33
13183.599842814829,6.010558632906213e-15,-9.005257275791319e-12,-1.138928263097384e-14,-0.11299302715369457,-9.30553676481956e-05,6.317335014330738e-15,0.6129437576875111,-5.71847938550823e-18,-1.900885120534299e-05,1.436271526367178e-14,0.5001613336940267
26367.199685629657,-0.005188638996108918,-8.945159020267272e-12,-4.443280959901661e-12,-0.10654677818298142,-0.003990148667543365,1.6176903390483127e-09,0.6217886141573998,-1.346711322416895e-17,-4.0690450108320114e-05,1.412836310053452e-14,0.4939776405354941
39550.799528444484,-0.005170773414764915,-8.945230743338348e-12,-9.84784938377344e-14,-0.10654025444146545,-0.003989381092989582,7.251266770644331e-13,0.6217767497784162,-1.3465602034556176e-17,-4.0681552123978534e-05,1.453298925955503e-14,0.49396434073170026
52734.399371259315,-0.011132777561608255,-8.920601999771587e-12,-1.1165041318305807e-13,-0.10977523663970493,-0.003964116148818257,1.2072793145196997e-12,0.6251068033841838,-1.443052985997205e-17,-4.5320667873870845e-05,1.4803473676454468e-14,0.4998106476420986
65917.99921407414,-0.014670740524391077,-8.905887954947071e-12,-1.0731484418565057e-13,-0.11170296963932586,-0.003949026853946614,8.718015055472153e-13,0.6270787918560139,-1.5011802866001738e-17,-4.810124253893741e-05,1.496707960103809e-14,0.5032920464127809
79101.59905688897,-0.019612731209602333,-8.88517388347353e-12,-1.0187750344173575e-13,-0.11440834767342198,-0.003928199566071116,5.619110386698876e-13,0.6298269974864334,-1.5838637776784382e-17,-5.203234671238977e-05,1.5197563364384812e-14,0.5081743133182487
92285.1988997038,-0.027439507051218528,-8.851953357066798e-12,-9.379191703680971e-14,-0.11872580523246862,-0.0038952785776291813,2.776881951693708e-13,0.6341626710372232,-1.7186465767797823e-17,-5.8378826969483454e-05,1.5567753630680105e-14,0.515956298660178
105468.79874251863,-0.04418299376206223,-8.778960062917616e-12,-7.84911356496175e-14,-0.12811510041490468,-0.003822970555014696,5.945093313641017e-14,0.6433590810365062,-2.0250002018880333e-17,-7.25174014525914e-05,1.63830917129496e-14,0.5328345011061694
118652.39858533346,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
131835.99842814828,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
145019.5982709631,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
158203.1981137779,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
171386.79795659272,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
184570.39779940754,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
197753.99764222236,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
210937.59748503717,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
224121.197327852,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
237304.7971706668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
250488.39701348162,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
263671.99685629643,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
276855.5966991113,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
290039.1965419261,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
303222.79638474097,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
316406.3962275558,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
329589.99607037066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
342773.5959131855,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
355957.19575600035,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
369140.7955988152,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
382324.39544163004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
395507.9952844449,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
408691.59512725973,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
421875.1949700745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
