! Species         Shape    LJ-depth  LJ-diam   DiplMom   Polzblty  RotRelaxNum Data     
! Name            Index    epsilon/k_B sigma     mu        alpha     Zrot      Source   
C3H4(2584)          2     237.100     5.118     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
C4H5(204)           2     357.002     5.180     0.000     0.000     1.000    ! GRI-Mech
C4H3(198)           2     357.002     5.180     0.000     0.000     1.000    ! GRI-Mech
C#CC#C(1058)        1     357.002     5.180     0.000     0.000     1.000    ! GRI-Mech
C4H5(3611)          2     381.310     5.150     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=495.21 K, Pc=52.66 bar (from Joback method)
[CH]1CC1(2604)      2     351.793     4.928     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=456.87 K, Pc=55.44 bar (from Joback method)
C3H5(103)           2     260.001     4.850     0.000     0.000     1.000    ! GRI-Mech
C3H3(2601)          2     352.621     4.844     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=457.95 K, Pc=58.54 bar (from Joback method)
C3H3(2602)          2     352.621     4.844     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=457.95 K, Pc=58.54 bar (from Joback method)
C#C[CH2](96)        2     252.000     4.760     0.000     0.000     1.000    ! GRI-Mech
C3H2N2(3354)        2     341.100     5.784     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
C3H2N2(5976)        2     341.100     5.784     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
C3H2N2(5970)        2     487.877     5.019     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=633.61 K, Pc=72.8 bar (from Joback method)
C4H5(3612)          2     366.854     5.226     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=476.43 K, Pc=48.49 bar (from Joback method)
C4H5(4455)          2     364.794     5.109     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=473.76 K, Pc=51.61 bar (from Joback method)
C3H5(191)           2     260.001     4.850     0.000     0.000     1.000    ! GRI-Mech
C4H6(2751)          2     359.053     5.460     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=466.30 K, Pc=41.62 bar (from Joback method)
C4H6(2620)          2     376.709     5.228     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=489.23 K, Pc=49.73 bar (from Joback method)
CC1[C]C1(2745)      2     531.400     4.687     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
C4H6(2619)          2     366.854     5.226     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=476.43 K, Pc=48.49 bar (from Joback method)
C4H6(5526)          2     360.421     5.272     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=468.08 K, Pc=46.4 bar (from Joback method)
C4H6(8348)          2     359.053     5.460     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=466.30 K, Pc=41.62 bar (from Joback method)
C4H6(4464)          2     381.310     5.150     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=495.21 K, Pc=52.66 bar (from Joback method)
C4H6(1363)          2     357.002     5.180     0.000     0.000     1.000    ! GRI-Mech
C4H4(1064)          2     357.002     5.180     0.000     0.000     1.000    ! GRI-Mech
C#C[C]C(11299)      2     531.400     4.687     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
C3H5(2749)          2     260.001     4.850     0.000     0.000     1.000    ! GRI-Mech
C4H4(11300)         2     531.400     4.687     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
C5H5(5495)          2     368.883     5.409     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=479.07 K, Pc=43.97 bar (from Joback method)
C4H7(1367)          2     348.453     5.429     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=452.54 K, Pc=41.09 bar (from Joback method)
[CH2]C1CC1(4824)    2     366.039     5.309     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=475.38 K, Pc=46.15 bar (from Joback method)
C4H7(210)           2     348.453     5.429     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=452.54 K, Pc=41.09 bar (from Joback method)
C4H5(3615)          2     357.002     5.180     0.000     0.000     1.000    ! GRI-Mech
C4H5(5383)          2     371.108     5.207     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=481.96 K, Pc=49.59 bar (from Joback method)
C4H7(4936)          2     359.053     5.460     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=466.30 K, Pc=41.62 bar (from Joback method)
C4H2(4289)          2     531.400     4.687     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
C4H5N2(5159)        2     399.300     5.949     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
CHN2(2031)          2     422.220     5.329     2.000     0.000     1.000    ! NOx2018
C3H3N2(5984)        2     341.100     5.784     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
