time[s],[H]_molefrac,[H]OOOOOOOOO[O]_molefrac,[H]OOOOOOOO[H]_molefrac,[H]OOOOOOO[O]_molefrac,[H]OOOOOO[H]_molefrac,[H]OOOOO[O]_molefrac,[H]OOOO[H]_molefrac,[H]OOO[O]_molefrac,[H]OO[H]_molefrac,[H]O[O]_molefrac,[H][H]_molefrac,[O]OOOOOOOOOO[O]_molefrac,[O]OOOOOOOO[O]_molefrac,[O]OOOOOO[O]_molefrac,[O]OOOO[O]_molefrac,[O]OO[O]_molefrac,[O][O]_molefrac
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.33
6591.799921407414,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
13183.599842814829,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
19775.399764222242,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
26367.199685629657,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
32958.99960703707,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
39550.799528444484,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
46142.5994498519,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
52734.399371259315,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
59326.19929266673,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
